datetime,symbol,open,high,low,close,volume
2011-11-17 09:30:00,NYSE:APTV,17.79866,18.359841,17.79866,17.865667,20962024.0
2011-11-18 09:30:00,NYSE:APTV,17.882427,18.033184,17.379868,17.589264,3245685.0
2011-11-21 09:30:00,NYSE:APTV,17.589264,17.781908,16.768432,17.002955,2825252.0
2011-11-22 09:30:00,NYSE:APTV,17.002955,17.346373,16.458517,16.667913,3568237.0
2011-11-23 09:30:00,NYSE:APTV,16.500405,16.542284,16.098364,16.441774,1267218.0
2011-11-25 09:30:00,NYSE:APTV,16.374767,16.600923,16.332888,16.458517,333801.0
2011-11-28 09:30:00,NYSE:APTV,16.634418,17.019715,16.475277,16.785175,836141.0
2011-11-29 09:30:00,NYSE:APTV,16.75168,16.75168,16.500405,16.743313,637454.0
2011-11-30 09:30:00,NYSE:APTV,16.877309,17.974561,16.85353,17.455251,680137.0
2011-12-01 09:30:00,NYSE:APTV,17.547385,17.631143,17.044843,17.430123,572909.0
2011-12-02 09:30:00,NYSE:APTV,17.547385,17.966177,17.505497,17.89917,697756.0
2011-12-05 09:30:00,NYSE:APTV,17.966177,18.351465,17.924289,18.234204,2468706.0
2011-12-06 09:30:00,NYSE:APTV,18.125318,18.636244,18.10019,18.535734,625719.0
2011-12-07 09:30:00,NYSE:APTV,18.368209,18.510615,18.276091,18.426848,197976.0
2011-12-08 09:30:00,NYSE:APTV,18.192324,18.376593,18.108566,18.167197,451134.0
2011-12-09 09:30:00,NYSE:APTV,18.108566,18.410096,17.79866,18.217452,588124.0
2011-12-12 09:30:00,NYSE:APTV,17.924289,18.083439,17.79866,18.016423,515063.0
2011-12-13 09:30:00,NYSE:APTV,18.133685,18.276091,17.765165,17.848915,666988.0
2011-12-14 09:30:00,NYSE:APTV,17.656271,17.748405,17.212351,17.287734,1256660.0
2011-12-15 09:30:00,NYSE:APTV,17.572512,18.326338,17.413363,17.555769,851080.0
2011-12-16 09:30:00,NYSE:APTV,17.555769,18.008056,17.371501,17.564136,251522.0
2011-12-19 09:30:00,NYSE:APTV,17.647903,17.731653,17.388235,17.580897,177877.0
2011-12-20 09:30:00,NYSE:APTV,17.949417,18.167197,17.731653,18.008056,382224.0
2011-12-21 09:30:00,NYSE:APTV,17.89917,18.158813,17.832155,17.924289,320643.0
2011-12-22 09:30:00,NYSE:APTV,17.949417,18.301219,17.949417,18.250947,447027.0
2011-12-23 09:30:00,NYSE:APTV,18.276091,18.803761,18.116942,18.376593,647646.0
2011-12-27 09:30:00,NYSE:APTV,19.172298,19.172298,17.907546,18.133685,528969.0
2011-12-28 09:30:00,NYSE:APTV,18.234204,18.276091,17.664647,17.748405,172786.0
2011-12-29 09:30:00,NYSE:APTV,17.773532,17.949417,17.606016,17.941049,345050.0
2011-12-30 09:30:00,NYSE:APTV,17.974561,18.125318,17.664647,18.041551,152727.0
2012-01-03 09:30:00,NYSE:APTV,18.518982,19.205793,18.225912,18.627877,1170298.0
2012-01-04 09:30:00,NYSE:APTV,19.457076,19.457076,18.301219,18.879135,469976.0
2012-01-05 09:30:00,NYSE:APTV,18.795385,18.795385,18.225819,18.54411,802853.0
